http://drachenboard.ml/soundfiles/hurensohn.mp3;Hurensohn
http://drachenboard.ml/soundfiles/ichfluchso.mp3;Ich fluch so lang rum
http://drachenboard.ml/soundfiles/ichhabdessagen.mp3;Ich hab des sagen
http://drachenboard.ml/soundfiles/ichsehalles.mp3;Ich seh alles
http://drachenboard.ml/soundfiles/ihrseidamarsch.mp3;Ihr seid am Arsch
http://drachenboard.ml/soundfiles/ihrseidtot.mp3;Ihr seid tot scheiß Hater
http://drachenboard.ml/soundfiles/immerdieseslululu.mp3;Immer wieder dieses LüLüLü
http://drachenboard.ml/soundfiles/ineressiertnet.mp3;Interessiert mich auch net wirklich
http://drachenboard.ml/soundfiles/interessiert.mp3;Was interessiertn mich des ob n paar Spacken denken ich bin dumm?
http://drachenboard.ml/soundfiles/irrenhaus.mp3;Irrenhaus oder was
http://drachenboard.ml/soundfiles/ja.mp3;Brüggl rausschmeißen
http://drachenboard.ml/soundfiles/keinbock.mp3;keinen Bock auf rechtfertigen
http://drachenboard.ml/soundfiles/keinbockm.mp3;hab kein Bock mehr
http://drachenboard.ml/soundfiles/keinbockmehr.mp3;Jedes mal alder
http://drachenboard.ml/soundfiles/keinechance.mp3;keine Chance
http://drachenboard.ml/soundfiles/keinfernsehen.mp3;kein Fernsehen sondern DVD
http://drachenboard.ml/soundfiles/kindergartn.mp3;Solcher Kindergartn
http://drachenboard.ml/soundfiles/kindergartne.mp3;muss des echt sein euer Kindergartn
http://drachenboard.ml/soundfiles/klapsen.mp3;Klapsen haben Ausgang
http://drachenboard.ml/soundfiles/knie.mp3;Fick dich ins Knie
http://drachenboard.ml/soundfiles/kopfhor.mp3;Ich hab Kopfhörer auf
http://drachenboard.ml/soundfiles/krankebastarde.mp3;Was seid ihr für kranke Bastarde
http://drachenboard.ml/soundfiles/krankewichser.mp3;kranke Mistwichser
http://drachenboard.ml/soundfiles/labertdoch.mp3;labert doch so lange Scheiße wie ihr wollt
http://drachenboard.ml/soundfiles/lacherlich1.mp3;bist so lächerlich
http://drachenboard.ml/soundfiles/lachfigur.mp3;Lachfigur
http://drachenboard.ml/soundfiles/lachwitzfigur.mp3;Lachwitzfigur
http://drachenboard.ml/soundfiles/lappen.mp3;Lappen
http://drachenboard.ml/soundfiles/leckmich.mp3;Leck mich am Arsch
http://drachenboard.ml/soundfiles/letztewarnung.mp3;Letzte Warnung
http://drachenboard.ml/soundfiles/libnhater.mp3;Libn Hater, Großalarm (Feuerwehreinsatz)
http://drachenboard.ml/soundfiles/loschdichselber.mp3;Lösch dich selber
http://drachenboard.ml/soundfiles/lugenraushauen.mp3;Hör auf die Lügen rauszuhauen
http://drachenboard.ml/soundfiles/lululu.mp3;LüLüLü
http://drachenboard.ml/soundfiles/lvl51.mp3;LvL 51 schützt nicht
http://drachenboard.ml/soundfiles/meddelt.mp3;meldet den alle mal bidde
http://drachenboard.ml/soundfiles/meddlloideverpiss.mp3;Meddl Loide = verpiss dich
http://drachenboard.ml/soundfiles/mehrabonennten.mp3;mehr Abonennten und Zuschauer als DU
http://drachenboard.ml/soundfiles/mehrumge.mp3;Mehr umghaut die größer warn
http://drachenboard.ml/soundfiles/merkstdunoch.mp3;Merkst du eigentlich noch was du für Lügen erzählst
http://drachenboard.ml/soundfiles/miteltern.mp3;Mit Eltern sprechen
http://drachenboard.ml/soundfiles/morgnis.mp3;Morgn is nix mehr
http://drachenboard.ml/soundfiles/mudda.mp3;Du schläfst noch mit deiner Mudder
http://drachenboard.ml/soundfiles/nazi.mp3;Du bistn Nazi
http://drachenboard.ml/soundfiles/nuttensohn.mp3;du Nuttensohn
http://drachenboard.ml/soundfiles/ohnefak.mp3;Boah alda ohne Fak man
http://drachenboard.ml/soundfiles/ohnescheis.mp3;Ohne Scheiß man
http://drachenboard.ml/soundfiles/ohnescheisaller.mp3;Wieder die Scheiße hier drin
http://drachenboard.ml/soundfiles/prozentignet.mp3;100%ig net
http://drachenboard.ml/soundfiles/rechne.mp3;rechnes dir aus Kollege
http://drachenboard.ml/soundfiles/rollstuhl.mp3;Ich hock im Rollstuhl
http://drachenboard.ml/soundfiles/rollstuhl1.mp3;Lügenwichser behauptet er sitzt im Rollstuhl
http://drachenboard.ml/soundfiles/rumgelaber.mp3;immer dieses Rumgelaber da
http://drachenboard.ml/soundfiles/scheisdreck1.mp3;so ein Scheißdreck
http://drachenboard.ml/soundfiles/scheisegal.mp3;is mir Scheißegal
http://drachenboard.ml/soundfiles/scheisescho.mp3;kann ja nicht wahr sein
http://drachenboard.ml/soundfiles/schnauzehalten.mp3;Schnauze halten und abhaun
http://drachenboard.ml/soundfiles/schwachsinn.mp3;genau der gleiche Schwachsinn
http://drachenboard.ml/soundfiles/schwachsinn1.mp3;son Schwachsinn
http://drachenboard.ml/soundfiles/schwachsinn2.mp3;dabei is des alles Schwachsinn
http://drachenboard.ml/soundfiles/seibermobbing.mp3;mittlerweile Seibermobbing
http://drachenboard.ml/soundfiles/selbstschutz.mp3;Lügen = Selbstschutz
http://drachenboard.ml/soundfiles/soeinegwaffelt.mp3;so eine gwaffelt
http://drachenboard.ml/soundfiles/spammen.mp3;Spammen
http://drachenboard.ml/soundfiles/spasti.mp3;Spasti alda
http://drachenboard.ml/soundfiles/spastiker.mp3;die ganzen Spastiker
http://drachenboard.ml/soundfiles/spastiker1.mp3;du bistn Spastiker alder
http://drachenboard.ml/soundfiles/spastikerwiederda.mp3;jetzt sind die ganzen Spastiker wieder da
http://drachenboard.ml/soundfiles/stinksauer.mp3;stinksauer
http://drachenboard.ml/soundfiles/totalfett.mp3;ich wette du bist total fett
http://drachenboard.ml/soundfiles/tuer.mp3;kehrt vor euer eigenen Haustür
http://drachenboard.ml/soundfiles/verdammtalt.mp3;du bist sowas von verdammt alt
http://drachenboard.ml/soundfiles/verdammte.mp3;verdammte Scheiße
http://drachenboard.ml/soundfiles/verreck.mp3;ich hoffe du verreckst an Dummheit
http://drachenboard.ml/soundfiles/videos.mp3;Ich bin der YouTuber, ich mach die Videos, wem das nicht passt da ist die Tür
http://drachenboard.ml/soundfiles/viech.mp3;verdammtes Viech
http://drachenboard.ml/soundfiles/vollidioten.mp3;nur noch Vollidioten
http://drachenboard.ml/soundfiles/vollknicken.mp3;des kannst du voll knicken
http://drachenboard.ml/soundfiles/vollpsych.mp3;voll die Psychosen
http://drachenboard.ml/soundfiles/wassolldiescheise.mp3;was soll denn diese verdammte Scheiße
http://drachenboard.ml/soundfiles/website.mp3;scheiß Website
http://drachenboard.ml/soundfiles/wennihrsprecht.mp3;wenn ihr sprecht
http://drachenboard.ml/soundfiles/wiedumm.mp3;wie dumm kann ein Mensch eigentlich sein
http://drachenboard.ml/soundfiles/witzfigur.mp3;Witzfigur
http://drachenboard.ml/soundfiles/zunennen.mp3;hör auf die so zu nennen wie mein Vadder
http://drachenboard.ml/soundfiles/einsichtig.mp3;nicht einsichtig
http://drachenboard.ml/soundfiles/eigentuemer.mp3;Eigentümer bin ich, weil des ich bin
http://drachenboard.ml/soundfiles/kriminell_leude.mp3;des is ja kriminell Loide
http://drachenboard.ml/soundfiles/dageche.mp3;da machen wir nix mehr dageche
http://drachenboard.ml/soundfiles/laecherlichbar.mp3;Hater sind nicht lächerlichbar
http://drachenboard.ml/soundfiles/wahlbetrug.mp3;Wahlbetrug
http://drachenboard.ml/soundfiles/sonderschule.mp3;Sonderschule nur scheiße gebaut
